emotion,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
sa,0.0,0.5272,0.5742,0.001,0.0023,0.0012,0.0,0.0,0.0,0.0505,0.0133,0.0353,0.0246,0.0015,0.6102,0.6073,0.0035,0.2115,0.2476,0.2574,0.227,0.0122,0.0324,0.0,0.0006,0.0192,0.0011,0.0029,0.0013,0.0006,0.0007,0.001,0.0038,0.0055,0.0003,0.0003,0.0031,0.0021,0.9139,0.0018,0.1675,0.0616,0.0854,0.0372,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0,0.0
sa,0.0,0.1016,0.0624,0.0009,0.0463,0.0513,0.0,0.0,0.0,0.1615,0.1763,0.1046,0.1189,0.0159,0.1342,0.1643,0.038,0.0896,0.0655,0.4009,0.2578,0.0047,0.0018,0.0,0.0003,0.0006,0.0,0.0001,0.0012,0.0022,0.0268,0.0258,0.0003,0.0011,0.0001,0.0001,0.0255,0.0312,0.0145,0.0007,0.0048,0.0003,0.2615,0.1275,0.0013,0.0011,0.0094,0.0064,0.001,0.0022,0.0,0.0
an,0.0,0.0574,0.0699,0.0051,0.0514,0.0323,0.002,0.0,0.0,0.0072,0.0049,0.0568,0.0593,0.0297,0.1074,0.1321,0.057,0.275,0.2821,0.2308,0.0743,0.1151,0.1679,0.0032,0.0024,0.6568,0.0166,0.0002,0.0888,0.1514,0.0062,0.0112,0.0979,0.0001,0.8971,0.8786,0.0043,0.0109,0.0291,0.0009,0.0009,0.0023,0.0009,0.053,0.2087,0.4393,0.0053,0.0879,0.1472,0.2511,0.0,0.0
an,0.0,0.1514,0.2403,0.0001,0.0183,0.0076,0.0,0.0,0.0,0.0847,0.0819,0.1069,0.0985,0.0122,0.3227,0.318,0.0068,0.0992,0.0999,0.3878,0.3884,0.0137,0.0098,0.0,0.0011,0.001,0.0001,0.0001,0.0319,0.1381,0.0,0.0,0.003,0.0044,0.0,0.0,0.0034,0.0092,0.7497,0.0134,0.0047,0.0055,0.56,0.2518,0.0,0.0,0.0,0.0,0.0011,0.0017,0.0,0.0
di,0.0,0.1602,0.1711,0.0025,0.0174,0.039,0.0003,0.0,0.0,0.1677,0.1077,0.0337,0.026,0.0084,0.1651,0.2203,0.0305,0.2682,0.2759,0.6202,0.4715,0.0041,0.0048,0.0008,0.0011,0.0531,0.0005,0.0003,0.0446,0.0001,0.0233,0.0384,0.0104,0.0172,0.0622,0.2431,0.0177,0.0009,0.0409,0.0,0.0069,0.0012,0.008,0.2505,0.0032,0.0007,0.0121,0.0074,0.3707,0.1401,0.0,0.0
di,0.0,0.1311,0.127,0.0002,0.0188,0.0158,0.0,0.0,0.0,0.2037,0.2029,0.0991,0.1056,0.3622,0.0089,0.0084,0.3584,0.1194,0.1051,0.6618,0.5111,0.0042,0.0026,0.0001,0.0006,0.0011,0.0,0.0001,0.0035,0.0015,0.0003,0.0003,0.0244,0.0043,0.001,0.0009,0.0024,0.0019,0.7082,0.0006,0.0015,0.0007,0.0118,0.0702,0.0001,0.0,0.0005,0.0006,0.0028,0.0025,0.0,0.0
an,0.0,0.0704,0.0611,0.0001,0.0908,0.0403,0.0011,0.0,0.0,0.0446,0.0188,0.0723,0.072,0.0808,0.0343,0.0512,0.1102,0.149,0.1242,0.3112,0.1368,0.0223,0.0237,0.0013,0.0021,0.3638,0.0018,0.0034,0.0443,0.0263,0.0001,0.0001,0.0211,0.0027,0.1758,0.2035,0.0243,0.0428,0.0041,0.0001,0.0018,0.0235,0.0008,0.0244,0.1679,0.2055,0.0027,0.0045,0.3036,0.3479,0.0,0.0
an,0.0,0.2004,0.1534,0.0089,0.0067,0.007,0.0002,0.0,0.0,0.0201,0.0118,0.2734,0.2545,0.0373,0.0763,0.079,0.0435,0.0316,0.0267,0.1963,0.0906,0.0349,0.0327,0.0005,0.001,0.0274,0.0001,0.0012,0.0063,0.0028,0.0063,0.0094,0.0047,0.0004,0.0229,0.0282,0.0808,0.0697,0.001,0.0008,0.0103,0.0087,0.0106,0.1492,0.0273,0.0258,0.0078,0.0248,0.4214,0.4204,0.0,0.0
an,0.0,0.4173,0.5271,0.0,0.0062,0.0032,0.0,0.0,0.0,0.1146,0.0768,0.1316,0.1258,0.0195,0.1185,0.1567,0.046,0.0776,0.0776,0.6724,0.6705,0.0066,0.0061,0.0,0.0017,0.0359,0.0002,0.0027,0.011,0.054,0.0,0.0001,0.0003,0.0032,0.0001,0.0,0.0224,0.0505,0.0348,0.0022,0.5101,0.3296,0.7855,0.1509,0.0,0.0,0.0001,0.0002,0.0002,0.0003,0.0,0.0
an,0.0,0.2443,0.2548,0.0001,0.0061,0.0075,0.0004,0.0,0.0,0.1383,0.1699,0.0131,0.0158,0.0173,0.1326,0.1548,0.0412,0.5255,0.5029,0.6739,0.4045,0.0058,0.0036,0.0012,0.0206,0.2599,0.0001,0.0016,0.0008,0.0028,0.0427,0.0448,0.0429,0.007,0.2234,0.1133,0.0023,0.0232,0.0191,0.0,0.0019,0.003,0.0015,0.1412,0.006,0.0093,0.0213,0.0499,0.1296,0.2118,0.0,0.0
su,0.0,0.002,0.0002,0.5032,0.8209,0.8989,0.0012,0.0,0.0,0.0065,0.0051,0.216,0.2638,0.0156,0.1966,0.2167,0.0182,0.0548,0.0434,0.0646,0.0193,0.1567,0.1577,0.0008,0.0001,0.3066,0.141,0.0001,0.0606,0.0288,0.0268,0.0483,0.3113,0.0,0.7231,0.745,0.0117,0.0143,0.0668,0.0318,0.0147,0.0013,0.0213,0.4549,0.3595,0.5311,0.0054,0.0829,0.8303,0.9277,0.0,0.0
an,0.0,0.1044,0.4522,0.0016,0.039,0.0026,0.0,0.0,0.0,0.0735,0.1082,0.0106,0.0091,0.0241,0.0865,0.1314,0.0538,0.5228,0.4926,0.6227,0.668,0.0081,0.0064,0.0,0.0039,0.0722,0.001,0.0287,0.0112,0.0154,0.0,0.0,0.0265,0.0095,0.0012,0.0008,0.0016,0.006,0.9908,0.0055,0.1639,0.4386,0.0057,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
an,0.0,0.0135,0.0175,0.0013,0.1709,0.0732,0.0012,0.0,0.0,0.1731,0.1374,0.0952,0.0857,0.044,0.0998,0.0874,0.0472,0.1598,0.142,0.6864,0.6446,0.0047,0.0033,0.0033,0.0101,0.1085,0.0001,0.0012,0.009,0.0027,0.0652,0.0809,0.0043,0.0025,0.3505,0.4833,0.0271,0.0285,0.0046,0.0,0.0158,0.006,0.0115,0.0533,0.0373,0.0248,0.1338,0.3578,0.8116,0.7371,0.0,0.0
an,0.0,0.2511,0.3072,0.0,0.0169,0.0185,0.0008,0.0,0.0,0.0963,0.0795,0.0382,0.0374,0.0474,0.0498,0.0843,0.0879,0.2478,0.2139,0.7931,0.6519,0.0068,0.005,0.0009,0.0041,0.4008,0.0011,0.0033,0.1166,0.0065,0.0,0.0,0.0335,0.0294,0.0614,0.1404,0.0204,0.0142,0.0157,0.0,0.0008,0.0087,0.0004,0.0227,0.1883,0.1195,0.0022,0.0039,0.202,0.1295,0.0,0.0
an,0.0,0.2138,0.2114,0.0006,0.0308,0.0267,0.0,0.0,0.0,0.0523,0.0343,0.0205,0.0137,0.0033,0.502,0.4935,0.0138,0.4022,0.4047,0.22,0.3213,0.012,0.019,0.0001,0.0,0.0015,0.015,0.0001,0.0051,0.007,0.0043,0.0093,0.0034,0.0006,0.0007,0.0009,0.0247,0.0233,0.1356,0.002,0.0338,0.0049,0.123,0.0813,0.0001,0.0001,0.0003,0.0334,0.0003,0.0002,0.0,0.0
an,0.0,0.7242,0.7197,0.0001,0.003,0.0016,0.0036,0.0,0.0,0.1904,0.2122,0.0835,0.0883,0.0272,0.1013,0.1554,0.0751,0.1641,0.1874,0.703,0.634,0.0047,0.0042,0.003,0.0584,0.7193,0.0016,0.0004,0.1708,0.2565,0.0005,0.0006,0.0877,0.0014,0.8258,0.8401,0.0125,0.0321,0.0109,0.0002,0.0006,0.0132,0.0007,0.0241,0.7752,0.822,0.0061,0.0076,0.3983,0.4899,0.0,0.0
an,0.0,0.3575,0.4087,0.0001,0.0063,0.0059,0.0,0.0,0.0,0.0629,0.0347,0.0156,0.0173,0.0146,0.1417,0.1624,0.0296,0.3789,0.3588,0.7461,0.4922,0.0089,0.0081,0.0,0.0012,0.0136,0.0001,0.005,0.0085,0.0019,0.0002,0.0003,0.002,0.009,0.0003,0.0004,0.0227,0.0135,0.1379,0.0002,0.0372,0.0157,0.0384,0.0123,0.0001,0.0,0.0004,0.0005,0.0,0.0001,0.0,0.0
an,0.0,0.007,0.0201,0.016,0.5232,0.1117,0.0017,0.0,0.0,0.0284,0.0274,0.1314,0.1107,0.0341,0.0918,0.1098,0.0556,0.1206,0.1373,0.2825,0.4706,0.0315,0.0447,0.0021,0.0007,0.5486,0.0333,0.0001,0.0372,0.0999,0.0049,0.006,0.1068,0.0001,0.8551,0.8742,0.0024,0.0049,0.0563,0.0014,0.0006,0.0012,0.0009,0.0608,0.402,0.5832,0.0055,0.018,0.4607,0.531,0.0,0.0
an,0.0,0.2411,0.2335,0.0001,0.01,0.0101,0.0015,0.0,0.0,0.0985,0.1258,0.1379,0.162,0.0135,0.1418,0.1892,0.0412,0.1392,0.093,0.7287,0.5212,0.0137,0.007,0.0029,0.0014,0.1637,0.0014,0.0009,0.0035,0.0055,0.0025,0.0023,0.0231,0.0004,0.5888,0.7484,0.0098,0.0198,0.0146,0.0002,0.0038,0.0061,0.0021,0.0143,0.6514,0.6614,0.0217,0.0247,0.7162,0.762,0.0,0.0
an,0.0,0.5804,0.5367,0.0,0.0022,0.0029,0.001,0.0,0.0,0.205,0.2233,0.089,0.1119,0.0669,0.0502,0.0681,0.0982,0.1455,0.1109,0.7972,0.649,0.0035,0.0012,0.0022,0.0126,0.4105,0.0003,0.0051,0.0386,0.0201,0.0003,0.0004,0.0551,0.001,0.1484,0.2987,0.0078,0.0189,0.0304,0.0003,0.0017,0.0038,0.0023,0.0283,0.171,0.2172,0.0025,0.0442,0.6658,0.674,0.0,0.0
an,0.0,0.7856,0.8101,0.0,0.0005,0.0005,0.0001,0.0,0.0,0.2408,0.1292,0.0394,0.0286,0.0046,0.2186,0.3852,0.034,0.2647,0.2826,0.6712,0.6959,0.0019,0.002,0.0002,0.0015,0.0193,0.0,0.005,0.0071,0.002,0.0442,0.0426,0.0001,0.0027,0.0006,0.0011,0.1293,0.0554,0.0013,0.0,0.0684,0.0341,0.0342,0.0042,0.0018,0.0009,0.0162,0.0087,0.0,0.0001,0.0,0.0
an,0.0,0.1936,0.2237,0.0001,0.0351,0.0154,0.0,0.0,0.0,0.0466,0.037,0.0205,0.0174,0.029,0.081,0.0929,0.0482,0.3202,0.2974,0.4057,0.2565,0.0127,0.0075,0.0,0.0002,0.001,0.0,0.0002,0.0008,0.0036,0.0604,0.0651,0.0005,0.0003,0.0002,0.0002,0.0251,0.0645,0.0173,0.0023,0.0087,0.0007,0.1895,0.1133,0.001,0.0013,0.0094,0.0154,0.0004,0.0011,0.0,0.0
an,0.0,0.7441,0.7243,0.0004,0.0003,0.0004,0.0,0.0,0.0,0.1107,0.0962,0.0066,0.0068,0.0363,0.073,0.093,0.0578,0.5987,0.5721,0.6308,0.4395,0.0031,0.0045,0.0001,0.0004,0.0218,0.0002,0.0174,0.0205,0.0223,0.0002,0.0003,0.002,0.0009,0.0003,0.0003,0.0263,0.0573,0.1001,0.0045,0.0725,0.0152,0.0539,0.0139,0.0003,0.0004,0.0002,0.002,0.0,0.0,0.0,0.0
an,0.0,0.036,0.0713,0.0002,0.1193,0.0313,0.0,0.0,0.0,0.0882,0.0922,0.0068,0.0057,0.0218,0.1282,0.1259,0.0367,0.6632,0.6333,0.5358,0.3691,0.0082,0.0058,0.0001,0.0002,0.0016,0.0,0.0006,0.0105,0.0006,0.0441,0.0857,0.0012,0.0005,0.0002,0.0003,0.0483,0.0131,0.0377,0.0017,0.0097,0.0007,0.1021,0.0856,0.003,0.0019,0.0129,0.0574,0.0008,0.0008,0.0,0.0
ne,0.0,0.0026,0.0026,0.2379,0.3593,0.24,0.0,0.0,0.0,0.0388,0.0213,0.1746,0.1667,0.0274,0.1382,0.1337,0.0228,0.045,0.0517,0.105,0.0826,0.0173,0.0347,0.0,0.0046,0.0098,0.0001,0.0011,0.001,0.0034,0.0002,0.0003,0.0009,0.0009,0.0002,0.0002,0.0068,0.0119,0.5377,0.0125,0.1175,0.0465,0.1461,0.0229,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0
sa,0.0,0.6059,0.5455,0.0065,0.002,0.0031,0.0,0.0,0.0,0.2813,0.2171,0.3058,0.3407,0.0389,0.0184,0.1755,0.2781,0.0258,0.0236,0.3953,0.3476,0.0036,0.002,0.0001,0.0008,0.0015,0.0,0.0004,0.0002,0.0004,0.3995,0.4444,0.0055,0.0019,0.0002,0.0001,0.0009,0.0018,0.6574,0.0003,0.0034,0.0001,0.0613,0.0656,0.0001,0.0001,0.02,0.0559,0.0051,0.0093,0.0,0.0
sa,0.0,0.0016,0.0009,0.3893,0.3674,0.2552,0.0,0.0,0.0,0.4672,0.4971,0.7012,0.6895,0.104,0.0984,0.0383,0.036,0.006,0.0034,0.2875,0.2605,0.0014,0.0006,0.0,0.0008,0.0018,0.0001,0.0002,0.0012,0.0057,0.0014,0.0016,0.0016,0.0005,0.0002,0.0002,0.0068,0.0252,0.3236,0.0121,0.0279,0.0042,0.2603,0.0707,0.0,0.0,0.0002,0.0008,0.0001,0.0002,0.0,0.0
sa,0.0,0.0295,0.0433,0.002,0.0919,0.0517,0.0,0.0,0.0,0.3184,0.2971,0.4203,0.3961,0.0871,0.0483,0.0471,0.094,0.0311,0.0202,0.4659,0.4184,0.0023,0.0014,0.0002,0.0004,0.0012,0.0,0.0006,0.0012,0.0004,0.1883,0.2421,0.0039,0.0016,0.0001,0.0001,0.0088,0.0035,0.1027,0.0002,0.0017,0.0004,0.0352,0.1138,0.0084,0.0055,0.1847,0.273,0.0044,0.0065,0.0,0.0
sa,0.0,0.0782,0.0474,0.6026,0.0013,0.0016,0.0,0.0,0.0,0.1869,0.0957,0.0986,0.1004,0.0076,0.2795,0.2675,0.0192,0.1059,0.1178,0.1744,0.2247,0.0064,0.0063,0.0006,0.0004,0.0011,0.0,0.0001,0.0054,0.0009,0.0005,0.0006,0.0211,0.0022,0.0029,0.004,0.0126,0.0039,0.1231,0.0007,0.0003,0.0004,0.0015,0.0675,0.0083,0.0057,0.005,0.0057,0.0094,0.0076,0.0,0.0
sa,0.0,0.0572,0.0245,0.0922,0.0426,0.0691,0.0,0.0,0.0,0.1675,0.1007,0.0616,0.0637,0.0363,0.0969,0.1013,0.0511,0.1354,0.1672,0.3898,0.4474,0.0037,0.0065,0.0,0.0149,0.0765,0.0,0.027,0.0009,0.0009,0.0024,0.0032,0.0001,0.0068,0.0003,0.0001,0.0365,0.0413,0.0226,0.0001,0.5333,0.533,0.1081,0.0017,0.0,0.0,0.0008,0.0006,0.0,0.0,0.0,0.0
sa,0.0,0.0016,0.0009,0.6388,0.4895,0.4688,0.0,0.0,0.0,0.0798,0.0543,0.6364,0.6224,0.385,0.0046,0.0096,0.3995,0.0071,0.0047,0.0506,0.0359,0.0193,0.0269,0.0,0.0005,0.0015,0.0001,0.0001,0.0716,0.0073,0.0002,0.0006,0.0002,0.0006,0.0,0.0,0.1144,0.0791,0.021,0.0188,0.023,0.0124,0.9308,0.5698,0.0013,0.0008,0.0001,0.0017,0.0118,0.0059,0.0,0.0
an,0.0,0.0086,0.0043,0.0103,0.2494,0.2788,0.0009,0.0,0.0,0.0741,0.0769,0.2841,0.2885,0.0499,0.0467,0.0676,0.0799,0.0372,0.0229,0.5597,0.3125,0.0139,0.0078,0.0014,0.0012,0.0236,0.0001,0.0011,0.0049,0.0182,0.0145,0.0139,0.0009,0.0004,0.1802,0.204,0.1272,0.3925,0.0004,0.0004,0.0556,0.0238,0.0428,0.0555,0.0842,0.1494,0.0248,0.1047,0.5901,0.795,0.0,0.0
an,0.0,0.0571,0.0529,0.001,0.1341,0.0794,0.0003,0.0,0.0,0.0852,0.0552,0.0187,0.0166,0.1803,0.0154,0.0278,0.1771,0.369,0.376,0.4751,0.2641,0.0118,0.0045,0.0007,0.809,0.2469,0.0,0.003,0.0006,0.0467,0.2086,0.2036,0.0026,0.0016,0.164,0.1283,0.0021,0.0774,0.006,0.0,0.0091,0.0072,0.0483,0.075,0.0005,0.0017,0.0006,0.0317,0.1731,0.3635,0.0,0.0
an,0.0,0.2334,0.251,0.0001,0.0121,0.0082,0.0015,0.0,0.0,0.4167,0.3362,0.129,0.1331,0.0178,0.1991,0.1872,0.0248,0.1239,0.1274,0.8027,0.6439,0.0018,0.0013,0.0028,0.0028,0.5718,0.03,0.0003,0.1045,0.2052,0.0006,0.0006,0.0244,0.0004,0.9225,0.9274,0.0175,0.0175,0.0116,0.0006,0.0013,0.0079,0.0008,0.0335,0.0102,0.0099,0.002,0.0015,0.0572,0.0727,0.0,0.0
an,0.0,0.0006,0.0004,0.1267,0.7083,0.5371,0.0015,0.0,0.0,0.0709,0.0445,0.2826,0.2928,0.0362,0.312,0.2251,0.0058,0.0498,0.0418,0.3491,0.2659,0.0174,0.0424,0.0027,0.0002,0.4003,0.0729,0.0002,0.0463,0.0555,0.0018,0.002,0.0464,0.0002,0.9334,0.9475,0.0191,0.0311,0.0316,0.0016,0.0021,0.0029,0.0015,0.0404,0.2587,0.3278,0.0152,0.0225,0.4396,0.5026,0.0,0.0
an,0.0,0.048,0.0275,0.0132,0.096,0.0631,0.0014,0.0,0.0,0.0547,0.0537,0.1925,0.1727,0.1417,0.0332,0.0362,0.1559,0.0858,0.0861,0.2488,0.271,0.0211,0.0235,0.0024,0.0074,0.6556,0.0083,0.0004,0.336,0.5446,0.0004,0.0005,0.1515,0.0003,0.6941,0.7689,0.0098,0.0205,0.0308,0.0008,0.0014,0.0048,0.0012,0.0452,0.1844,0.313,0.0007,0.0031,0.1137,0.1525,0.0,0.0
an,0.0,0.8022,0.7897,0.0001,0.0008,0.0008,0.0049,0.0,0.0,0.5183,0.5816,0.1963,0.2342,0.0244,0.1819,0.1897,0.0401,0.1025,0.1011,0.8253,0.7738,0.0012,0.0005,0.0049,0.0082,0.522,0.0043,0.0003,0.0353,0.0621,0.0475,0.0625,0.0231,0.0,0.9122,0.9271,0.0056,0.0073,0.0069,0.0009,0.0023,0.0047,0.0015,0.0214,0.6683,0.739,0.0282,0.0819,0.4413,0.5283,0.0,0.0
an,0.0,0.7892,0.7443,0.0,0.0003,0.0011,0.0025,0.0,0.0,0.1287,0.1371,0.059,0.0711,0.011,0.2047,0.2233,0.0303,0.2425,0.199,0.8076,0.6131,0.0056,0.0032,0.0042,0.015,0.133,0.0002,0.001,0.0092,0.0152,0.0103,0.0082,0.0027,0.0006,0.548,0.6502,0.0152,0.0315,0.0017,0.0001,0.0112,0.0279,0.0063,0.0383,0.2639,0.2344,0.0499,0.0276,0.6266,0.6936,0.0,0.0
an,0.0,0.0031,0.0032,0.0328,0.618,0.4914,0.0,0.0,0.0,0.4078,0.2216,0.5089,0.4987,0.038,0.0711,0.1215,0.0757,0.0161,0.0136,0.2922,0.2958,0.0026,0.0033,0.0,0.0001,0.0,0.0,0.0,0.0036,0.009,0.0031,0.0024,0.0003,0.002,0.0001,0.0,0.0136,0.0213,0.0347,0.001,0.0002,0.0,0.611,0.3567,0.0394,0.0359,0.0144,0.003,0.2986,0.3686,0.0,0.0
ne,0.0,0.0008,0.0013,0.4118,0.6475,0.3547,0.0,0.0,0.0,0.0979,0.0539,0.067,0.0607,0.0659,0.0559,0.0602,0.0659,0.1093,0.1213,0.2365,0.1674,0.0058,0.0066,0.0001,0.0004,0.01,0.0001,0.0049,0.0023,0.0075,0.0,0.0,0.0071,0.0004,0.0009,0.0008,0.0295,0.0339,0.0406,0.0084,0.0013,0.0013,0.0011,0.0134,0.0165,0.0295,0.0031,0.0049,0.0003,0.0006,0.0,0.0
ne,0.0,0.0055,0.0107,0.0546,0.1606,0.0764,0.0,0.0,0.0,0.1115,0.0918,0.138,0.1389,0.0229,0.1118,0.1212,0.0363,0.0756,0.0669,0.3633,0.2223,0.0104,0.0059,0.0,0.0002,0.0008,0.0,0.0001,0.0124,0.0076,0.0011,0.0024,0.0002,0.0007,0.0002,0.0002,0.071,0.1241,0.0037,0.0016,0.0094,0.0012,0.1675,0.0508,0.0015,0.0019,0.0005,0.0092,0.001,0.0014,0.0,0.0
ne,0.0,0.0059,0.0058,0.0674,0.3788,0.2523,0.0,0.0,0.0,0.1599,0.1046,0.0976,0.1141,0.0269,0.1092,0.133,0.0389,0.0708,0.0779,0.2887,0.2158,0.0043,0.0048,0.0,0.0053,0.0681,0.0002,0.045,0.0212,0.0014,0.0,0.0,0.0031,0.0129,0.0003,0.0003,0.0239,0.0095,0.4979,0.0009,0.0691,0.1457,0.0114,0.0017,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0
sa,0.0,0.1209,0.1092,0.0802,0.0141,0.0125,0.0,0.0,0.0,0.0689,0.0442,0.1049,0.1173,0.0169,0.1195,0.1551,0.0476,0.0896,0.0851,0.3246,0.1793,0.01,0.0169,0.0,0.0002,0.0157,0.0004,0.0012,0.0003,0.0047,0.0112,0.0199,0.0006,0.0003,0.0002,0.0001,0.0006,0.0148,0.2748,0.0104,0.1645,0.013,0.8487,0.4419,0.0,0.0,0.0001,0.0062,0.0013,0.0056,0.0,0.0
sa,0.0,0.4325,0.4673,0.021,0.0016,0.0007,0.0,0.0,0.0,0.1315,0.0875,0.0476,0.0422,0.0097,0.1923,0.2134,0.0274,0.1714,0.1932,0.46,0.4568,0.0044,0.0042,0.0,0.0008,0.0147,0.0001,0.0017,0.0016,0.0007,0.0859,0.1246,0.0006,0.0015,0.0002,0.0002,0.0086,0.0111,0.0893,0.0006,0.1373,0.0177,0.4808,0.1121,0.0,0.0,0.0009,0.0054,0.0004,0.0006,0.0,0.0
an,0.0,0.2652,0.2986,0.0001,0.0144,0.0068,0.0,0.0,0.0,0.0667,0.0581,0.0187,0.0178,0.044,0.0633,0.0779,0.0578,0.3495,0.3368,0.5586,0.5126,0.0082,0.0052,0.0,0.0009,0.0131,0.0001,0.0036,0.0013,0.008,0.0001,0.0001,0.0016,0.0007,0.0005,0.0003,0.0118,0.0704,0.0856,0.0037,0.0299,0.0265,0.0333,0.0076,0.0,0.0,0.0001,0.0007,0.0,0.0001,0.0,0.0
an,0.0,0.56,0.6549,0.0,0.0021,0.0015,0.0025,0.0,0.0,0.1332,0.153,0.0328,0.0403,0.0181,0.207,0.2053,0.0355,0.3929,0.3877,0.7013,0.6224,0.0064,0.0047,0.002,0.0074,0.6459,0.009,0.0033,0.0645,0.0887,0.0005,0.0005,0.0253,0.0001,0.4281,0.5227,0.0136,0.0198,0.0061,0.0021,0.001,0.026,0.0008,0.0125,0.659,0.7007,0.002,0.0057,0.0199,0.0313,0.0,0.0
an,0.0,0.3526,0.4661,0.0002,0.0041,0.002,0.0001,0.0,0.0,0.12,0.0861,0.0512,0.0466,0.0085,0.2285,0.2259,0.0139,0.1536,0.1503,0.4921,0.4026,0.0049,0.0027,0.0003,0.0019,0.1334,0.0002,0.0052,0.0044,0.0115,0.0001,0.0,0.0181,0.0015,0.0197,0.0172,0.0282,0.046,0.0091,0.0007,0.0044,0.0117,0.0021,0.0502,0.0025,0.0026,0.0008,0.0005,0.0124,0.0229,0.0,0.0
